old,new,status,message
3H0AQ,TREXEC-001-Z5Y,ok,
782KR,TREXEC-002-UGM,ok,
7H450,TREXEC-003-B83,ok,
7WIY8,TREXEC-004-JDE,ok,
8W4S7,TREXEC-005-SI5,ok,
9SB6B,TREXEC-006-F8T,ok,
B32WN,TREXEC-007-HPB,ok,
BLMDC,TREXEC-008-7U2,ok,
BYSZU,TREXEC-009-OAA,ok,
G6GRR,TREXEC-010-OPK,ok,
H2RN4,TREXEC-011-KD8,ok,
HNAPY,TREXEC-012-AHV,ok,
IZPVM,TREXEC-013-1FP,ok,
JXKST,TREXEC-014-Y3T,ok,
K7EWS,TREXEC-015-E3L,ok,
LIVQ7,TREXEC-016-XI7,ok,
MU7SD,TREXEC-017-0SN,ok,
MY96H,TREXEC-018-KRP,ok,
PJSWO,TREXEC-019-FK8,ok,
RYN67,TREXEC-020-QZF,ok,
SJYBT,TREXEC-021-ST6,ok,
SN8N5,TREXEC-022-SLR,ok,
U1982,TREXEC-023-48T,ok,
VA4UK,TREXEC-024-LX3,ok,
XCY7F,TREXEC-025-3P6,ok,
